城市,月份,住宅类型,面积段,环比,同比,定基,累计平均,来源URL
武汉,2024-01,二手住宅,全部,99.0,93.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
武汉,2024-01,新建商品住宅,90m2及以下,98.8,98.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
武汉,2024-01,新建商品住宅,90-144m2,99.4,99.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
武汉,2024-01,新建商品住宅,144m2以上,99.5,99.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
武汉,2024-01,二手住宅,90m2及以下,98.8,94.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
武汉,2024-01,二手住宅,90-144m2,99.2,93.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
武汉,2024-01,二手住宅,144m2以上,99.3,94.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长沙,2024-01,新建商品住宅,全部,99.9,102.0,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长沙,2024-01,二手住宅,全部,99.3,97.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长沙,2024-01,新建商品住宅,90m2及以下,99.7,100.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长沙,2024-01,新建商品住宅,90-144m2,99.9,102.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长沙,2024-01,新建商品住宅,144m2以上,99.8,102.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长沙,2024-01,二手住宅,90m2及以下,99.3,97.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长沙,2024-01,二手住宅,90-144m2,99.4,97.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
长沙,2024-01,二手住宅,144m2以上,99.2,97.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
广州,2024-01,新建商品住宅,全部,99.2,96.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
广州,2024-01,二手住宅,全部,98.8,93.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
广州,2024-01,新建商品住宅,90m2及以下,99.2,96.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
广州,2024-01,新建商品住宅,90-144m2,99.2,96.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
